,Unnamed: 0,smiles,eib,bandgap_chain,bandgap_crystal
723,723,[*]C=CC(C(=O)OC(C)C)C([*])C(=O)OC(C)C,,4.8185,
724,724,[*]C=CC(C)C([*])C(=O)OCCCC,,4.9412,5.4974
725,725,[*]CC(C)C=C([*])C,,5.1336,
726,726,[*]C=CC=CCC[*],3.0718244076890087,4.3088,
727,727,[*]C1C=CC([*])C1,3.853594259903194,5.7471,
728,728,[*]CO[*],2.9368749358939112,6.6201,7.1211
729,729,[*]OC([*])C,3.920268255199856,6.845,
731,731,[*]OC([*])CC,,5.9932,
732,732,[*]OC([*])(C)C,3.969524553708136,6.2262,
733,733,[*]OC([*])CCC,,6.6375,
734,734,[*]OC([*])C(C)C,,5.7277,
735,735,[*]OC([*])CCC#N,3.451396829817848,7.2521,6.9611
736,736,[*]OC([*])CCCC,,6.602,
737,737,[*]OC([*])CCC(=O)OC,,6.2304,
738,738,[*]CCO[*],4.217726221989065,5.2314,
739,739,[*]CC(C)O[*],,5.7371,6.9903
740,740,[*]CC(CCl)O[*],3.9357642986773063,6.4132,
741,741,[*]CC(O[*])C(F)(F)F,3.4936681923022164,6.435,
742,742,[*]CC(CBr)O[*],3.6268114812841072,6.0732,5.4664
743,743,[*]CC(CF)O[*],4.092370645731197,6.1994,
744,744,[*]CC(CC)O[*],,5.7835,
745,745,[*]CC(C=C)O[*],2.9574353160015283,4.878,
746,746,[*]CC(COC)O[*],4.110930234994799,5.6346,
747,747,[*]CC(C)(C)O[*],4.134587158094535,5.2787,
748,748,[*]CC(C)(CCl)O[*],4.155760164411795,5.8535,
749,749,[*]CC(CCCC)O[*],,5.3538,
750,750,[*]CC(O[*])C(C)(C)C,,5.4545,
751,751,[*]CC(COCC)O[*],,5.6017,
752,752,[*]CC(COCC=C)O[*],,5.2481,
753,753,[*]CC(CC(C)(C)C)O[*],,5.3332,
754,754,[*]CC(COCCCC)O[*],,5.303,
755,755,[*]CC(CCCCCC)O[*],,5.7137,
756,756,[*]CC(COCCCCCC)O[*],,5.7915,
757,757,[*]CC(O[*])c1ccccc1,4.1574820439358176,5.4524,
761,761,[*]CC(COc1cccc(C)c1)O[*],,4.5798,
763,763,[*]CC(COc1ccc(Cl)cc1)O[*],4.254733028083265,4.9216,
764,764,[*]CC(COc1c(Cl)cc(Cl)cc1Cl)O[*],3.568608012743099,4.6256,
768,768,[*]OC(C)C([*])C,,5.5235,
771,771,[*]OC(F)(F)C([*])(F)F,4.426752074637604,9.8351,10.1137
772,772,[*]CCCO[*],,6.2461,
773,773,[*]CC(C)(C)CO[*],3.915775941917299,5.9613,
774,774,[*]CC(CO)(CO)CO[*],3.9687434184774255,5.6943,
775,775,[*]CC(CO[*])(COCC)COCC,,5.1949,
776,776,[*]CC(CCl)(CCl)CO[*],,6.5804,
778,778,[*]CC(CBr)(CBr)CO[*],3.7028816613630338,5.6999,
779,779,[*]CCCCO[*],,6.0135,
780,780,[*]CCCCCCO[*],,6.0774,
781,781,[*]CCCCCCCCO[*],,6.0919,
782,782,[*]CCCCCCCCCO[*],,5.9832,
783,783,[*]CCCCCCCCCCO[*],,6.1884,
784,784,[*]CCCCCCCCCCCCO[*],,6.2257,
785,785,[*]CC1(CO[*])CCCCC1,,5.8122,
786,786,[*]CC1(CO[*])CCC(C)CC1,,5.8267,
787,787,[*]Oc1ccc([*])cc1,3.0316706041105195,4.1373,
788,788,[*]Oc1cccc([*])c1,3.3186772723476428,5.0109,
789,789,[*]Oc1c(C)cc([*])cc1C,3.5128207714298023,4.5131,
790,790,[*]Oc1c(C)cc([*])cc1C(C)CCC,,4.2294,
791,791,[*]Oc1c(C)cc([*])cc1C(C)CCCC,,4.226,
792,792,[*]Oc1c(OC)cc([*])cc1OC,3.809057337562928,4.3423,
793,793,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1ccccc1,,3.8556,
794,794,[*]Oc1ccc(Cc2ccc([*])cc2)cc1,2.972654986892165,4.865,
795,795,[*]OC1C(C)(C)C([*])C1(C)C,3.763703581439757,5.3086,
796,796,[*]CC1CCC(COCO[*])CC1,,6.3338,
797,797,[*]CCOCO[*],4.009441672187883,6.4615,
798,798,[*]CCCCOCO[*],4.067653986609352,6.3363,
799,799,[*]CCCCCOCO[*],4.215900317011461,6.4901,
800,800,[*]CCCCCCOCO[*],3.968996859031292,6.5809,
801,801,[*]CCCCCCCCCOCO[*],,6.3507,
802,802,[*]CCCCCCCCCCOCO[*],,6.3968,
803,803,[*]CCCCCCCCCCCCCCOCO[*],,6.443,
804,804,[*]CCCCCCCCCCCCCCCCCCOCO[*],,6.621,
805,805,[*]CCCCCCOCCCCCCOCCCCCO[*],,5.6821,
806,806,[*]CCCCCCCCCCOCCCCCCOCCCCCCO[*],,6.0095,
807,807,[*]CCCCCCCCCCOCCCCCCCCCCOCCCCO[*],,6.0257,
808,808,[*]CCCCCCCCCCOCCCCCCCCCCOCCCCCO[*],,5.8764,
809,809,[*]CCCCCCCCCCOCCCCCCCCCCOCCCCCCO[*],,6.045,
812,812,[*]CCSSCCOCO[*],3.4536524679272347,5.0437,
813,813,[*]CCSSCCO[*],3.628896458839197,5.3343,
814,814,[*]CCSSSSCCO[*],2.6244902617061454,4.2061,
815,815,[*]Oc1ccc(Sc2ccc([*])cc2)cc1,,4.2009,
816,816,[*]Oc1ccc(SSCCCCSSc2ccc([*])cc2)cc1,2.6757939302241445,3.9438,
817,817,[*]Oc1ccc(SSCCSSc2ccc([*])cc2)cc1,,3.8114,
818,818,[*]Oc1ccc(SSCCCCCCCCCCSSc2ccc([*])cc2)cc1,,3.9858,4.2235
819,819,[*]CCOCCOC(=O)CCCCCCCC(=O)O[*],,6.4552,
820,820,[*]CCOCCOC(=O)CCCCCCCCC(=O)O[*],,6.5248,
821,821,[*]CCOCCOCCOC(=O)CCCCCCCCC(=O)O[*],,5.7898,
822,822,[*]C(=O)OCCOC(=O)c1ccc([*])o1,2.3725720952092395,3.2205,
824,824,[*]CCOCCOC(=O)c1cccc(C(=O)O[*])c1,,4.6602,
826,826,[*]CCCC(=O)OCCOC(=O)c1ccc(O[*])cc1,,4.7014,
828,828,[*]CCCCC(=O)OCCOC(=O)c1ccc(O[*])cc1,4.3038869091410135,4.5036,
829,829,[*]CCCCCCC(=O)OCCOC(=O)c1ccc(O[*])cc1,,4.4498,
833,833,[*]CCCCC(=O)OCCCCCCOC(=O)c1ccc(O[*])cc1,,4.6377,
837,837,[*]Oc1ccc(C(=O)OCCOC(=O)c2ccc([*])cc2)cc1,3.1464009455394377,3.7261,
845,845,[*]Oc1ccc(C(=O)OCCCCCCOC(=O)c2ccc([*])cc2)cc1,,4.5512,
846,846,[*]CCOc1ccc(C(=O)OCCCCCCOC(=O)c2ccc(O[*])cc2)cc1,,4.6518,
847,847,[*]CC(=O)NCCCCCCNC(=O)CO[*],,6.1421,
848,848,[*]CCCC(=O)NCCCCCCNC(=O)CCCO[*],,5.4466,
849,849,[*]CCCCC(=O)NCCCCCCNC(=O)CCCCO[*],,5.3636,
850,850,[*]CCCCCC(=O)NCCCCCCNC(=O)CCCCCO[*],,5.8882,
851,851,[*]CCCCCCC(=O)NCCCCCCNC(=O)CCCCCCO[*],,5.9469,
852,852,[*]CCCCCCCCC(=O)NCCCCCCNC(=O)CCCCCCCCO[*],,5.4892,
853,853,[*]CCOCC(=O)NCCCCCCNC(=O)CO[*],,5.1019,
854,854,[*]CCCNC(=O)CCCCC(=O)NCCCO[*],,5.2859,
855,855,[*]CCCC(=O)NCCCCCOCCCCCNC(=O)CCCO[*],,5.6276,
857,857,[*]CCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCO[*],,5.7098,
858,858,[*]CCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCO[*],,5.7912,
859,859,[*]CCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCO[*],,5.9069,
860,860,[*]CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCO[*],,5.6076,
861,861,[*]CCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO[*],,5.3915,
862,862,[*]CCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO[*],,5.71,
863,863,[*]CCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO[*],,5.6857,
864,864,[*]CCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO[*],,5.7312,
865,865,[*]CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO[*],,5.1384,
866,866,[*]CCCCCNC(=O)CCCCCCCCOCCCCCCCCC(=O)NCCCCCO[*],,5.8422,
869,869,[*]CC(=O)NCCCCCCNC(=O)COc1ccc(O[*])cc1,,4.4776,
871,871,[*]CCCC(=O)NCc1ccc(CNC(=O)CCCO[*])cc1,,5.287000000000001,
872,872,[*]CCCCC(=O)NCc1ccc(CNC(=O)CCCCO[*])cc1,,5.5008,
873,873,[*]CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCO[*])cc1,,5.1934,
879,879,[*]CCCC(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cccc(O[*])c2)c1,,4.1874,
880,880,[*]Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc([*])cc3)c2)cc1,,3.1562,
882,882,[*]C(=O)COCC(=O)N1CCN([*])CC1,,5.6093,
883,883,[*]C(=O)COCCOCC(=O)N1CCN([*])CC1,,5.164,
884,884,[*]C(=O)NCCCCCCNC(=O)c1ccc([*])o1,,4.5303,
887,887,[*]CCOCCOC(=O)NCCCCCCNC(=O)O[*],,5.8048,
888,888,[*]CCOCCOCCOC(=O)NCCCCCCNC(=O)O[*],,6.0302,
889,889,[*]CCC(=O)OC(=O)CCC1CCC([*])O1,,5.624,
890,890,[*]CCC(=O)OC(=O)CCc1ccc([*])o1,,4.7063,
891,891,[*]CC(=O)OC(=O)c1cccc(O[*])c1,2.5491309966611158,4.1530000000000005,
892,892,[*]CC(=O)OC(=O)c1ccc(O[*])cc1Br,,4.5726,
893,893,[*]CC(=O)OC(=O)COc1cccc(O[*])c1,,4.4439,
894,894,[*]CC(=O)OC(=O)COc1ccc(O[*])cc1,,4.0904,
895,895,[*]Oc1ccc(C(=O)OC(=O)c2ccc([*])cc2)cc1,,4.441,
897,897,[*]CCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,2.238747802230537,4.4379,
